Position,Club,Played,Won,Draw,Lose,GF,GA,GD,Poin,Note
1,Bhayangkara FC (Bekasi),34,22,2,10,61,40,21,68,"[*3], Champions"
2,Bali United FC (Gianyar),34,21,5,8,76,38,38,68,
3,PSM (Makassar),34,19,8,7,67,38,29,65,
4,Persija (Jakarta),34,17,10,7,46,24,22,61,
5,Madura United FC (Pamekasan),34,17,9,8,58,44,14,60,
6,Persipura (Jayapura),34,17,9,8,64,37,27,60,"[C] Winner of the previous edition"
7,PS Barito Putera (Banjarmasin),34,15,8,11,48,44,4,53,
8,Borneo FC (Samarinda),34,15,7,12,50,39,11,52,[*2]
9,Arema FC (Malang),34,13,10,11,43,44,-1,49,[*1]
10,Mitra Kukar (Kutai Kartanegara),34,13,4,17,49,74,-25,43,
11,Sriwijaya FC (Palembang),34,11,9,14,50,50,0,42,
12,PS. TNI (Pakansari),34,12,6,16,46,58,-12,42,[*4]
13,Persib (Bandung),34,9,14,11,39,34,5,41,
14,Persela (Lamongan),34,12,4,18,49,55,-6,40,
15,Perseru (Serui),34,10,7,17,35,45,-10,37,
16,Semen Padang,34,9,8,17,34,52,-18,35,Relegated
17,Persiba (Balikpapan),34,7,6,21,41,62,-21,27,Relegated
18,Gresik United FC,34,2,4,28,26,104,-78,10,Relegated
